HGAL,PID,Export C1A1,Export C1A2,Export C1B1,Export C1B2,Export C1C1,Export C1C2,Export C1E1,Export C1E2,Class 1 Status,Who Modified,Date Modified,Verified BC,Verified homo A,Verified homo B,Verified homo C,Verified homo E
05E00477,HER075SLK,02:01,24:02,51:01,51:09,01:02,02:02,,,Published,Bailey Kessing,01/07/2005,1,,,,
05E00971,HOP071SW,11:01,32:01,27:05,27:05,01:02,02:02,,,Published,Amy Poisson,09/18/2003,,,,,
07G02950,30073,02:01,31:01,15:01,44:05,01:02,02:02,G,G,Published,yukiy,11/20/2018,,,,,
07G01546,41139,26:01,31:01,27:05,56:01,01:02,02:02,A,G,Published,yukiy,08/30/2018,1,,,,
66K00168,BUC208,02:01,11:01,15:01,40:02,01:02,02:02,,,Confirmed,Rasmi Thomas,05/11/2011,1,,,,
32C00150,1332-07,03:01,03:01,27:05,56:01,01:02,02:02,,,Preliminary,Bailey Kessing,02/18/2011,,,,,
CAR01575,RAGN248744,02:01,32:01,40:02,56:01,01:02,02:02,,,Preliminary,Bailey Kessing,06/15/2011,,,,,
42M01881,10256R,24:02,32:01,15:01,40:02,01:02,02:02,,,Preliminary,bassS,08/05/2009,1,,,,
CAR37501,RAGN263347,03:01,26:01,15:01,27:05,01:02,02:02,,,Completed,Bailey Kessing,06/15/2011,,,,,
CAR38554,RAGN388031,11:01,32:01,27:05,27:05,01:02,02:02,A,A,Preliminary,yukiy,03/29/2018,,,,,
CAR40096,RAGN560454,02:01,02:01,27:05,44:02,01:02,02:02,,,Completed,Bailey Kessing,06/15/2011,1,1,,,
CAR46028,RAGN432155,24:02,30:02,15:01,27:05,01:02,02:02,A,G,Preliminary,CSSMCS,01/31/2020,,,,,
66K00621,RDP0725,32:01,32:01,35:32,40:02,01:02,02:02,A,A,Preliminary,yukiy,07/26/2018,,,,,
42M00596,11670M,01:01,30:02,08:01,15:03,01:02,02:10,A,A,Published,yukiy,02/04/2019,1,,,,
42M00703,12450M,01:01,74,08:01,15:03,01:02,02:10,,,Published,Bailey Kessing,10/01/2010,1,,,,
42M01271,70493M,02:01,74:01,15:03,27:05,01:02,02:10,A,G,Confirmed,yukiy,02/04/2019,1,,,,
CAR25568,RAGN437105,30:01,30:02,15:01,15:03,01:02,02:10,,,Preliminary,Bailey Kessing,06/15/2011,,,,,
42M01197,12637M,01:01,30:01,51:01,58:01,01:02,03:02,,,Preliminary,Bailey Kessing,01/07/2005,,,,,
77W00296,3086P,11:02,33:03,46:01,58:01,01:02,03:02,A,G,Preliminary,tangm2,09/26/2017,,,,,
77W00774,70082S,02:07,02:07,46:01,58:01,01:02,03:02,A,G,Preliminary,yukiy,09/20/2018,,,,,
77W00530,2635P,02:07,33:03,46:01,58:01,01:02,03:02,,,Preliminary,yukiy,09/20/2018,,,,,
77W00122,9491S,02:07,33:03,46:01,58:01,01:02,03:02,,,Preliminary,tangm2,09/26/2017,,,,,
77W00826,70089P,02:07,33:03,46:01,58:01,01:02,03:02,A,G,Preliminary,tangm2,09/26/2017,,,,,
77W00140,11728S,24:02,33:03,46:01,58:01,01:02,03:02,,,Preliminary,tangm2,09/26/2017,,,,,
77W00566,12510P,02:07,11:01,46:01,58:01,01:02,03:02,,,Preliminary,tangm2,09/26/2017,,,,,
77W00177,5276P,02:07,33:03,46:01,58:01,01:02,03:02,,,Preliminary,tangm2,09/26/2017,,,,,
77W00401,10831P,02:07,11:01,46:01,58:01,01:02,03:02,G,G,Preliminary,tangm2,09/26/2017,,,,,
77W00084,11648P,02:07,33:03,46:01,58:01,01:02,03:02,,,Preliminary,yukiy,09/20/2018,,,,,
77W00737,70075P,02:07,33:03,46:01,58:01,01:02,03:02,A,G,Preliminary,tangm2,09/26/2017,,,,,
77W00723,70077P,02:07,33:03,40:01,46:01,01:02,03:02,,,Preliminary,tangm2,09/26/2017,,,,,
77W00131,13129xP,02:07,33:03,46:01,58:01,01:02,03:02,,,Preliminary,tangm2,09/26/2017,,,,,
77W00510,70026P,02:07,33:03,46:01,58:01,01:02,03:02,,,Preliminary,tangm2,09/26/2017,,,,,
77W00966,17122P,02:03,02:07,46:01,58:01,01:02,03:02,A,G,Preliminary,tangm2,09/26/2017,,,,,
77W00367,925991P,11:01,33:03,46:01,58:01,01:02,03:02,,,Preliminary,tangm2,09/26/2017,,,,,
77W00352,70030S,02:07,33:03,46:01,58:01,01:02,03:02,,,Preliminary,tangm2,09/26/2017,,,,,
77W00495,FG028P,11:01,33:03,54:01,58:01,01:02,03:02,,,Preliminary,tangm2,09/26/2017,,,,,
77W00449,70025S,02:06,33:03,46:01,58:01,01:02,03:02,,,Preliminary,tangm2,09/26/2017,,,,,
77W00183,70010P,02:07,33:03,56:04,58:01,01:02,03:02,,,Preliminary,tangm2,09/26/2017,,,,,
77W00518,70007S,02:07,33:03,46:01,58:01,01:02,03:02,,,Preliminary,tangm2,09/26/2017,,,,,
77W00487,FG022P,29:01,33:03,46:01,58:01,01:02,03:02,,,Preliminary,yukiy,09/20/2018,,,,,
77W00274,70006P,24:02,33:03,46:01,58:01,01:02,03:02,,,Preliminary,tangm2,09/26/2017,,,,,
77W00936,FG057P,02:03,33:03,46:01,58:01,01:02,03:02,A,G,Preliminary,tangm2,09/26/2017,,,,,
77W01302,70145P,02:07,33:03,46:01,58:01,01:02,03:02,A,G,Preliminary,tangm2,09/26/2017,,,,,
77W00883,70116S,11:01,33:03,56:01,58:01,01:02,03:02,A,G,Preliminary,tangm2,09/26/2017,,,,,
77W00031,6553P,33:03,33:03,46:01,58:01,01:02,03:02,,,Preliminary,tangm2,09/26/2017,,,,,
77W00254,17535S,02:07,33:03,46:01,58:01,01:02,03:02,,,Preliminary,tangm2,09/26/2017,,,,,
77w00534,358S,11:01,33:03,56:01,58:01,01:02,03:02,A,G,Preliminary,tangm2,09/26/2017,,,,,
77W00150,11759P,24:02,33:03,54:01,58:01,01:02,03:02,,,Preliminary,tangm2,09/26/2017,,,,,
77W00328,12057P,02:07,33:03,46:01,58:01,01:02,03:02,,,Preliminary,tangm2,09/26/2017,,,,,
77W00446,70027S,02:03,11:02,46:01,58:01,01:02,03:02,,,Preliminary,tangm2,09/26/2017,,,,,
77W00217,927970P,11:01,33:03,46:01,58:01,01:02,03:02,,,Preliminary,tangm2,09/26/2017,,,,,
77W00141,11728C,02:07,33:03,46:01,58:01,01:02,03:02,,,Preliminary, Darlene Marti,11/08/2007,,,,,
77W00201,6390C,24:02,33:03,55:02,58:01,01:02,03:02,,,Preliminary, Darlene Marti,02/29/2008,,,,,
77W00109,50002C,02:07,33:03,46:01,58:01,01:02,03:02,,,Preliminary, Darlene Marti,11/08/2007,,,,,
77W00116,9491C,02:07,33:03,46:01,58:01,01:02,03:02,,,Preliminary, Darlene Marti,11/08/2007,,,,,
77W00974,17165C,02:07,33:03,46:01,58:01,01:02,03:02,,,Preliminary, Darlene Marti,02/29/2008,,,,,
77W00991,17215C,02:07,33:03,46:01,58:01,01:02,03:02,,,Preliminary, Darlene Marti,02/29/2008,,,,,
77W02445,77W02445,02:07,33:03,46:01,58:01,01:02,03:02,A,G,Preliminary,tangm2,09/26/2017,,,,,
77W03007,77W03007,02:07,33:03,46:01,58:01,01:02,03:02,A,G,Preliminary,yukiy,09/20/2018,,,,,
05E00174,COR073SS,02:01,24:02,27:05,55:01,01:02,03:03,A,G,Published,CSSMCS,08/20/2021,,,,,
05E00577,TUL036RW,02:01,02:06,27:05,27:05,01:02,03:03,,,Published,Tang,03/07/2008,1,,,,
05E00773,UNC120JWH,02:01,31:01,15:01,27:05,01:02,03:03,,,Published,Tang,03/07/2008,1,,,,
05E02273,W08201001,,,,,01:02,03:03,,,Preliminary,Amy Poisson,01/26/2005,,,,,
07G00689,10238,24:02,26:01,15:01,27:05,01:02,03:03,A,G,Published,yukiy,07/06/2018,1,,,,
07G00995,10070,02:01,11:01,35:01,58:01,01:02,03:03,,,Published,Darlene Marti,12/16/2008,1,,,,
07G01215,40836,23:01,24:02,15:01,15:01,01:02,03:03,,,Published,car master,12/24/2009,1,,,,
07G01370,40043,02:01,02:01,15:15,52:01,01:02,03:03,,,Published,yukiy,08/17/2018,1,,,,
07G01380,30069,24:02,26:01,15:01,27:05,01:02,03:03,A,G,Published,yukiy,11/27/2018,1,,,,
07G01514,40693,02:01,02:01,15:01,55:01,01:02,03:03,A,G,Published,yukiy,08/22/2018,1,,,,
07G01684,33190,02:01,03:01,15:01,51:01,01:02,03:03,A,G,Published,yukiy,09/17/2018,1,,,,
32C00024,17-03,01:01,32:01,,56:01,01:02,03:03,,,Preliminary,Bailey Kessing,02/18/2011,,,,,
42M00537,10924M,03:01,31:01,15:08,44:03,01:02,03:03,,,Published, Darlene Marti,01/16/2008,1,,,,
05E01027,PIT128MDN,02:01,68:01,27:05,55:01,01:02,03:03,,,Published, Darlene Marti,01/16/2008,,,,,
07G02996,40212,03:01,11:01,15:01,51:01,01:02,03:03,A,G,Published,yukiy,11/20/2018,1,,,,
07G01522,40801,02:01,02:01,15:01,15:01,01:02,03:03,G,G,Published,yukiy,08/22/2018,1,,,,
07G01703,10705,02:01,32:01,15:01,27:05,01:02,03:03,A,A,Published,yukiy,09/17/2018,1,,,,
07G01730,20658,03:01,24:02,15:01,51:01,01:02,03:03,A,G,Published,yukiy,09/17/2018,1,,,,
07G02647,20840,02:01,31:01,,,01:02,03:03,,,Preliminary,Amy Poisson,09/18/2003,,,,,
07G02760,20011,02:01,02:01,27:05,35:01,01:02,03:03,A,G,Confirmed,yukiy,11/20/2018,1,,,,
66K00535,RDP0634,02:01,25:01,15:01,15:01,01:02,03:03,A,G,Preliminary,yukiy,07/26/2018,,,,,
32C00797,1477-01,,,15:01,27:05,01:02,03:03,,,Preliminary,Bailey Kessing,02/18/2011,1,,,,
77W00157,70019S,02:07,33:03,40:01,46:01,01:02,03:03,,,Preliminary,tangm2,09/26/2017,,,,,
77W00523,11140P,02:06,02:07,15:11,46:01,01:02,03:03,,,Preliminary,tangm2,09/26/2017,,,,,
77W00454,FG002P,02:07,11:01,46:01,55:02,01:02,03:03,,,Preliminary,tangm2,09/26/2017,,,,,
77W00714,50019P,11:01,24:02,55:02,58:01,01:02,03:03,G,G,Preliminary,tangm2,09/26/2017,,,,,
CAR26597,RAGN987758,02:01,11:01,27:05,55:01,01:02,03:03,,,Preliminary,Bailey Kessing,06/15/2011,,,,,
77W00047,11801C,11:01,26:01,15:11,46:01,01:02,03:03,,,Preliminary,Tang,03/07/2008,,,,,
CAR33042,YE 5389,11:01,11:01,44:02,57:01,01:02,03:03,A,A,Completed,CSSMCS,02/21/2020,,1,,,
CAR34286,RAGN506589,02:01,11:01,55:01,57:01,01:02,03:03,A,G,Completed,CSSMCS,02/21/2020,1,,,,
77W02523,77W02523,02:07,24:02,15:12,46:01,01:02,03:03,A,G,Preliminary,yukiy,09/20/2018,,,,,
01A00235,KS12763,31:01,68:02,,,01:02,03:04,,,Preliminary,Tang,03/07/2008,,,,,
05E00540,CHI010DMH,02:01,03:01,15:01,27:05,01:02,03:04,,,Published,car master,12/24/2009,1,,,,
07G00145,20091,02:01,24:02,40:01,56:01,01:02,03:04,G,G,Published,yukiy,05/11/2018,1,,,,
07G00195,40233,24:02,68:01,15:15,35:01,01:02,03:04,A,G,Published,yukiy,05/09/2018,1,,,,
07G00439,11012,02:01,02:01,15:01,40:01,01:02,03:04,G,G,Published,yukiy,06/29/2018,1,,,,
07G00595,20127,01:01,02:01,27:05,40:01,01:02,03:04,,,Published,car master,12/24/2009,1,,,,
07G00626,41113,01:01,32:01,15:01,44:03,01:02,03:04,G,G,Published,yukiy,06/29/2018,1,,,,
07G01027,40848,03:01,68:02,15:10,27:05,01:02,03:04,,,Published,yukiy,09/21/2018,1,,,,
07G01211,41474,02:01,03:01,15:01,56:01,01:02,03:04,G,G,Published,yukiy,09/21/2018,1,,,,
07G01399,40324,24:02,26:01,15:01,27:05,01:02,03:04,G,G,Published,yukiy,08/30/2018,1,,,,
10J00017,11785,02:01,32:01,40:01,56:01,01:02,03:04,,,Preliminary,Bailey Kessing,11/21/2008,1,,,,
32C00307,1344-02,02:01,03:01,40:01,51:01,01:02,03:04,,,Preliminary,Bailey Kessing,07/07/2011,,,,,
42M00957,41693M,02:01,03:01,15:01,27:05,01:02,03:04,,,Preliminary, Darlene Marti,01/16/2008,1,,,,
07G01426,13023,02:01,02:01,27:05,40:01,01:02,03:04,G,G,Published,yukiy,08/17/2018,1,,,,
07G01500,40512,68:01,69:01,40:02,55:01,01:02,03:04,G,G,Published,CSSMCS,08/29/2017,1,,,,
07G01538,41047,02:01,03:01,27:05,40:01,01:02,03:04,A,G,Published,yukiy,08/22/2018,1,,,,
66K00046,RDP0042,24:02,24:02,15:01,40:01,01:02,03:04,G,G,Confirmed,yukiy,07/26/2018,1,,,,
07G03177,33021,02:01,24:02,15:01,51:01,01:02,03:04,,,Confirmed,Bailey Kessing,08/22/2003,1,,,,
07G01054,20168,02:01,32:01,15:01,27:05,01:02,03:04,,,Preliminary,Bailey Kessing,11/21/2008,1,,,,
07G02132,10309,02:01,02:01,40:01,56:01,01:02,03:04,A,G,Preliminary,yukiy,11/20/2018,1,,,,
CAR18209,RAGN553064,02:01,03:01,15:01,27:05,01:02,03:04,G,G,Preliminary,yukiy,04/04/2018,,,,,
77W00815,FG045P,02:07,11:01,13:01,46:01,01:02,03:04,G,G,Preliminary,tangm2,09/26/2017,,,,,
77W00019,10696P,02:07,24:02,13:01,46:01,01:02,03:04,,,Preliminary,tangm2,09/26/2017,,,,,
77W00637,12982P,02:07,11:01,40:01,46:01,01:02,03:04,,,Preliminary,yukiy,09/20/2018,,,,,
77W00609,9262560P,02:07,24:02,40:01,46:01,01:02,03:04,,,Preliminary,tangm2,09/26/2017,,,,,
77W00773,70082P,11:01,24:02,40:01,46:01,01:02,03:04,A,G,Preliminary,tangm2,09/26/2017,,,,,
77W00655,11764P,02:07,11:01,13:01,46:01,01:02,03:04,G,G,Preliminary,tangm2,09/26/2017,,,,,
77W00072,13226S,11:01,11:02,40:01,56:01,01:02,03:04,,,Preliminary,yukiy,09/20/2018,,,,,
77W00399,11338S,02:07,11:01,13:01,46:01,01:02,03:04,G,G,Preliminary,tangm2,09/26/2017,,,,,
77W00009,13246P,02:07,11:01,13:01,46:01,01:02,03:04,,,Preliminary,yukiy,09/20/2018,,,,,
77W00621,928835P,02:07,24:02,13:01,46:01,01:02,03:04,,,Preliminary,tangm2,09/26/2017,,,,,
77W00008,13234S,11:01,11:01,13:01,46:01,01:02,03:04,,,Preliminary,tangm2,09/26/2017,,,,,
77W00133,13275S,02:07,24:02,13:01,46:01,01:02,03:04,,,Preliminary,tangm2,09/26/2017,,,,,
77W00493,FG026P,02:07,24:02,13:01,46:01,01:02,03:04,,,Preliminary,tangm2,09/26/2017,,,,,
77W00501,12466S,11:01,,40:02,54:01,01:02,03:04,,,Preliminary,tangm2,09/26/2017,,,,,
77W00270,17492S,02:03,24:02,13:01,54:01,01:02,03:04,,,Preliminary,tangm2,09/26/2017,,,,,
77W00577,928788S,02:07,11:01,13:01,46:01,01:02,03:04,,,Preliminary,tangm2,09/26/2017,,,,,
77W01001,33977P,02:07,33:03,13:01,46:01,01:02,03:04,A,G,Preliminary,tangm2,09/26/2017,,,,,
77W00308,17571P,02:01,02:07,40:02,46:01,01:02,03:04,,,Preliminary,tangm2,09/26/2017,,,,,
77W00188,70036P,11:02,24:02,40:01,40:01,01:02,03:04,,,Preliminary,tangm2,09/26/2017,,,,,
77W00239,70033P,02:03,11:01,13:01,46:01,01:02,03:04,,,Preliminary,tangm2,09/26/2017,,,,,
77W00267,12899P,02:07,02:07,13:01,46:01,01:02,03:04,,,Preliminary,tangm2,09/26/2017,,,,,
77W00490,FG025P,11:01,24:02,13:01,46:01,01:02,03:04,,,Preliminary,yukiy,09/20/2018,,,,,
77W00211,6505P,11:01,24:02,40:01,,01:02,03:04,,,Preliminary,tangm2,09/26/2017,,,,,
77W00531,2635S,11:01,11:01,13:01,58:01,01:02,03:04,,,Preliminary,tangm2,09/26/2017,,,,,
77W00280,70018P,02:06,24:02,40:01,46:01,01:02,03:04,,,Preliminary,tangm2,09/26/2017,,,,,
77W00830,FG830P,02:03,11:01,13:01,46:01,01:02,03:04,G,G,Preliminary,tangm2,09/26/2017,,,,,
77W00331,8367P,24:02,31:01,46:01,55:02,01:02,03:04,,,Preliminary,tangm2,09/26/2017,,,,,
77w01076,FG069P,02:06,02:07,13:01,46:01,01:02,03:04,G,G,Preliminary,tangm2,09/26/2017,,,,,
77W00212,6505S,11:01,24:02,13:01,55:02,01:02,03:04,A,G,Preliminary,tangm2,09/26/2017,,,,,
77W00151,11759S,24:02,24:02,40:01,46:01,01:02,03:04,,,Preliminary,yukiy,09/20/2018,,,,,
77W00186,7998P,11:02,24:02,40:01,46:01,01:02,03:04,,,Preliminary,tangm2,09/26/2017,,,,,
77W00474,FG009S,02:03,11:01,13:01,56:01,01:02,03:04,,,Preliminary,tangm2,09/26/2017,,,,,
32C00308,1344-03,03:01,24:02,40:01,51:01,01:02,03:04,,,Preliminary,Bailey Kessing,02/18/2011,,,,,
32C00310,1344-05,03:01,24:02,40:01,51:01,01:02,03:04,,,Preliminary,Bailey Kessing,02/18/2011,,,,,
32C00804,1477-08,02:01,,,27:05,01:02,03:04,,,Preliminary,Bailey Kessing,02/18/2011,,,,,
07G01895,10640,02:01,23:01,27:05,40:01,01:02,03:04,A,G,Preliminary,yukiy,11/20/2018,1,,,,
CAR25530,RAGN624041,02:01,03:01,15:01,56:01,01:02,03:04,A,G,Preliminary,yukiy,03/29/2018,,,,,
77W00021,10696C1,02:07,24:02,13:01,46:01,01:02,03:04,,,Preliminary, Darlene Marti,11/08/2007,,,,,
77W00525,11140C,02:07,11:01,13:01,46:01,01:02,03:04,,,Preliminary, Darlene Marti,11/08/2007,,,,,
77W01002,33977C,11:01,33:03,13:01,46:01,01:02,03:04,,,Preliminary, Darlene Marti,11/08/2007,,,,,
77W00022,10696C2,02:07,24:02,13:01,46:01,01:02,03:04,,,Preliminary,Tang,03/07/2008,,,,,
77W00152,11759C,24:02,24:02,40:01,54:01,01:02,03:04,,,Preliminary, Darlene Marti,11/08/2007,,,,,
77W00155,12651C,02:07,24:02,40:01,46:01,01:02,03:04,,,Preliminary, Darlene Marti,11/08/2007,,,,,
77W00506,10485C,02:07,24:02,40:01,46:01,01:02,03:04,,,Preliminary, Darlene Marti,02/29/2008,,,,,
CAR23291,RAGN842279,02:01,25:01,15:01,27:05,01:02,03:04,,,Preliminary,Bailey Kessing,06/15/2011,,,,,
05E02744,CBD022,,,40:01,56:01,01:02,03:04,,,Preliminary,Yuko Yuki,12/09/2008,,,,,
CAR39221,RAGN505535,02:01,24:02,15:01,27:05,01:02,03:04,,,Completed,Bailey Kessing,06/15/2011,1,,,,
77W02311,77W02311,11:01,11:01,40:01,46:01,01:02,03:04,A,G,Preliminary,tangm2,09/26/2017,,,,,
77W02479,77W02479,02:07,24:02,40:01,46:01,01:02,03:04,A,G,Preliminary,tangm2,09/26/2017,,,,,
CAR30505,RAGN879627,24:02,32:01,27:05,40:02,01:02,03:06,A,G,Confirmed,CSSMCS,02/21/2020,1,,,,
05E00176,PHI044SKP,,,27:05,53:01,01:02,04:01,,,Preliminary,Bailey Kessing,07/07/2011,,,,,
05E00467,PIT143JES,23:01,29:02,15:01,44:03,01:02,04:01,,,Published,car master,12/24/2009,1,,,,
05E00994,GWU018ML,02:01,02:01,35:01,56:01,01:02,04:01,,,Published,Tang,03/07/2008,1,,,,
05E01075,H07901001,23:01,29:02,15:01,44:03,01:02,04:01,,,Published,Tang,03/07/2008,1,,,,
05E01122,GWU019JL,02:01,03:01,35:01,56:01,01:02,04:01,,,Published,Bailey Kessing,11/21/2008,1,,,,
05E01577,HER281DH,02:01,02:01,35:01,51:01,01:02,04:01,,,Preliminary,Marti,10/03/2006,,,,,
05E01967,UNC135BJH,02:01,32:04,15:01,35:01,01:02,04:01,,,Published,Marti,10/03/2006,1,,,,
05E02282,H08601001,02:01,11:01,35:01,51:01,01:02,04:01,,,Published,Marti,10/03/2006,1,,,,
07G00229,10428,02:01,11:01,35:01,51:01,01:02,04:01,A,A,Confirmed,yukiy,11/27/2018,1,,,,
07G00375,10477,01:01,02:01,15:01,55:01,01:02,04:01,A,A,Published,yukiy,06/04/2018,1,,,,
07G00387,10152,01:01,23:01,08:01,35:01,01:02,04:01,A,A,Published,yukiy,11/27/2018,1,,,,
07G00458,10418,02:01,03:01,15:01,35:01,01:02,04:01,G,G,Published,yukiy,06/29/2018,1,,,,
07G00949,41695,11:01,11:01,35:01,56:01,01:02,04:01,A,A,Published,yukiy,09/17/2018,1,,,,
07G00992,30580,02:01,24:02,15:01,44:02,01:02,04:01,,,Published,Darlene Marti,12/16/2008,1,,,,
07G01012,10478,03:01,23:01,44:03,51:01,01:02,04:01,A,A,Published,yukiy,10/02/2018,1,,,,
07G01222,40132,02:01,03:01,35:02,56:01,01:02,04:01,G,G,Published,yukiy,09/17/2018,1,,,,
07G01367,40399,02:01,30:02,27:05,44:10,01:02,04:01,,,Published,Darlene Marti,12/16/2008,1,,,,
07G01374,10358,03:01,24:02,27:05,35:03,01:02,04:01,A,G,Published,yukiy,09/21/2018,1,,,,
07G01601,20417,02:06,03:01,35:01,51:01,01:02,04:01,G,G,Published,CSSMCS,01/07/2020,1,,,,
07G01844,10085,11:01,11:01,35:01,56:01,01:02,04:01,A,A,Confirmed,yukiy,10/02/2018,1,,,,
10J00210,13798,01:01,11:01,15:01,35:01,01:02,04:01,,,Preliminary, Darlene Marti,01/16/2008,1,,,,
32C00144,1332-01,03:01,03:01,35:01,56:01,01:02,04:01,,,Preliminary,Bailey Kessing,07/07/2011,,,,,
42M00018,10021M,01:01,68:01,08:01,35:01,01:02,04:01,,,Published,marti,12/11/2006,,,,,
42M00322,10510M,02:01,66:02,15:01,53:01,01:02,04:01,,,Published,Bailey Kessing,11/21/2008,1,,,,
42M00436,10789M,74,74,44:10,56:01,01:02,04:01,,,Published,Bailey Kessing,10/01/2010,,,,,
42M00789,12947M,,,53:01,55:01,01:02,04:01,,,Preliminary, Darlene Marti,01/16/2008,,,,,
42M00847,12780M,02:01,30:01,27:05,58:02,01:02,04:01,,,Published,car master,12/24/2009,1,,,,
05E02398,TUL116SL,11:01,24:02,35:05,46:01,01:02,04:01,,,Published, Darlene Marti,01/16/2008,,,,,
05E02690,COR249CB,03:01,31:01,35:01,51:01,01:02,04:01,,,Published, Darlene Marti,01/16/2008,,,,,
05E02288,A10501002,02:05,03:01,27:05,35:01,01:02,04:01,,,Published, Darlene Marti,01/16/2008,1,,,,
07G01540,41070,23:01,24:02,44:03,56:01,01:02,04:01,,,Published,Amy Poisson,09/18/2003,1,,,,
07G01743,30415,30:02,31:01,15:08,57:02,01:02,04:01,A,G,Published,CSSMCS,08/29/2017,1,,,,
66K00010,BUC076,02:01,02:01,27:05,50:01,01:02,04:01,,,Confirmed,marti,12/11/2006,1,,,,
